name,code
__vbaFpCmpCy,464
__vbaVarMul,465
__vbaStrToUnicode,466
_adj_fprem,467
_adj_fdivr_m64,468
__vbaI2Str,469
__vbaVarDiv,470
__vbaFPException,471
__vbaUbound,472
__vbaStrVarVal,473
__vbaVarCat,474
__vbaGetOwner4,475
__vbaI2Var,476
_CIlog,477
__vbaErrorOverflow,478
__vbaFileOpen,479
__vbaInStr,480
__vbaVar2Vec,481
__vbaNew2,482
__vbaVarInt,483
_adj_fdiv_m32i,484
_adj_fdivr_m32i,485
__vbaStrCopy,486
__vbaI4Str,487
__vbaFreeStrList,488
__vbaVarNot,489
_adj_fdivr_m32,490
__vbaPowerR8,491
_adj_fdiv_r,492
__vbaI4Var,493
__vbaAryLock,494
__vbaVarAdd,495
__vbaVarDup,496
__vbaStrToAnsi,497
__vbaVarCopy,498
__vbaFpI4,499
_CIatan,500
__vbaStrMove,501
__vbaAryCopy,502
__vbaCastObj,503
__vbaStrVarCopy,504
_allmul,505
_CItan,506
__vbaAryUnlock,507
__vbaUI1Var,508
__vbaFPInt,509
_CIexp,510
__vbaMidStmtBstr,511
__vbaFreeStr,512
__vbaFreeObj,513
__vbaI4ErrVar,514
_write,515
strchr,516
CharToOemBuffA,517
s_perror,519
swscanf,520
free,521
malloc,522
_vsnwprintf,523
_wmakepath,524
_wsplitpath,525
memmove,526
_wtoi,527
setlocale,528
RegOpenKeyExA,529
RegQueryValueExA,530
OpenProcessToken,531
LookupPrivilegeValueW,532
AdjustTokenPrivileges,533
RegCreateKeyW,534
RegCreateKeyExW,535
RegSetValueExW,536
RegQueryValueW,537
RegDeleteValueW,538
RegQueryValueExW,539
RegOpenKeyW,540
RegCloseKey,541
GetFileAttributesW,542
CreateProcessW,543
LoadLibraryW,544
OutputDebugStringA,545
GetPrivateProfileIntW,546
SetCurrentDirectoryW,547
GetWindowsDirectoryW,548
GetCurrentDirectoryW,549
RemoveDirectoryW,550
FindNextFileW,551
DeleteFileW,552
SetFileAttributesW,553
FindFirstFileW,554
FormatMessageW,555
GetVersionExW,556
GetExitCodeThread,557
GetSystemDirectoryW,558
lstrcatW,559
SearchPathW,560
GetPrivateProfileStringW,561
lstrcpyW,562
lstrcpynW,563
StretchBlt,564
BitBlt,565
GetTextMetricsW,566
GetMapMode,567
DPtoLP,568
CreateCompatibleBitmap,569
CreateCompatibleDC,570
GetObjectW,571
CreateFontIndirectW,572
GetClassInfoW,573
SendMessageW,574
CallWindowProcW,575
SetWindowLongW,576
MessageBoxW,577
wsprintfW,578
LoadStringW,579
TranslateAcceleratorW,580
GetWindowLongW,581
DispatchMessageW,582
GetMessageW,583
DialogBoxParamW,584
CheckRadioButton,585
IsDlgButtonChecked,586
WaitMessage,587
PeekMessageW,588
LoadImageW,589
LoadAcceleratorsW,590
SetMessageQueue,591
BringWindowToTop,592
FindWindowW,593
PostMessageW,594
CharNextW,595
CharPrevW,596
SetWindowTextW,597
MsgWaitForMultipleObjects,598
CheckDlgButton,599
GetWindowTextW,600
DefWindowProcW,601
FillRect,602
LoadCursorW,603
ExitWindowsEx,604
SendDlgItemMessageW,605
IsRectEmpty,606
GetUpdateRect,607
EnumThreadWindows,608
RegisterClassExW,609
CreateWindowExW,610
CreateDialogParamW,611
LoadIconW,612
DrawFocusRect,613
DrawTextW,614
DrawEdge,615
DrawIcon,616
RegisterClassW,617
UnregisterClassW,618
SHGetPathFromIDListW,619
SHGetMalloc,620
ShellExecuteW,621
SHGetSpecialFolderLocation,622
PathIsFileSpecW,624
PathIsURLW,625
VirtualProtect,626
GetAce,627
ImageList_Remove,628
GetSaveFileNameW,629
LineTo,630
WNetGetConnectionW,631
EnumProcesses,633
DragFinish,634
LoadUserProfileW,635
VerQueryValueW,636
FtpOpenFileW,637
timeGetTime,638
lstrcmpW,639
CreateMutexW,640
CreateEventW,641
CreateDirectoryW,642
CreateNamedPipeW,643
WaitNamedPipeW,644
CancelIo,645
GetConsoleWindow,646
CreateToolhelp32Snapshot,647
Process32FirstW,648
Process32NextW,649
DecodePointer,650
ReadConsoleW,651
ReleaseMutex,652
GetExitCodeProcess,653
UnregisterWaitEx,654
QueryDepthSList,655
InterlockedFlushSList,656
InterlockedPushEntrySList,657
InterlockedPopEntrySList,658
ReleaseSemaphore,659
UnregisterWait,660
RegisterWaitForSingleObject,661
SetThreadAffinityMask,662
GetProcessAffinityMask,663
GetNumaHighestNodeNumber,664
DeleteTimerQueueTimer,665
ChangeTimerQueueTimer,666
GetThreadTimes,667
CreateTimerQueueTimer,668
SetFilePointerEx,669
EnumSystemLocalesW,670
LoadLibraryExW,671
ExitThread,672
CreateSemaphoreW,673
OutputDebugStringW,674
EncodePointer,675
